patent_id,category_id
P001,CAT004
P002,CAT009
P003,CAT006
P004,CAT003
P005,CAT002
P006,CAT010
P007,CAT010
P008,CAT003
P009,CAT005
P010,CAT002
P011,CAT006
P012,CAT009
P013,CAT001
P014,CAT010
P015,CAT002
P016,CAT003
P017,CAT009
P018,CAT005
P019,CAT001
P020,CAT009
P021,CAT010
P022,CAT003
P023,CAT007
P024,CAT007
P025,CAT009
P026,CAT006
P027,CAT006
P028,CAT003
P029,CAT009
P030,CAT010
P031,CAT003
P032,CAT008
P033,CAT004
P034,CAT008
P035,CAT008
P036,CAT005
P037,CAT003
P038,CAT008
P039,CAT009
P040,CAT005
P041,CAT004
P042,CAT007
P043,CAT006
P044,CAT006
P045,CAT003
P046,CAT001
P047,CAT003
P048,CAT002
P049,CAT001
P050,CAT002
P051,CAT009
P052,CAT007
P053,CAT007
P054,CAT006
P055,CAT009
P056,CAT007
P057,CAT002
P058,CAT002
P059,CAT003
P060,CAT003
P061,CAT003
P062,CAT001
P063,CAT001
P064,CAT009
P065,CAT004
P066,CAT005
P067,CAT008
P068,CAT008
P069,CAT007
P070,CAT006
P071,CAT005
P072,CAT008
P073,CAT006
P074,CAT001
P075,CAT003
P076,CAT002
P077,CAT010
P078,CAT006
P079,CAT009
P080,CAT004
P081,CAT007
P082,CAT008
P083,CAT008
P084,CAT003
P085,CAT006
P086,CAT005
P087,CAT006
P088,CAT003
P089,CAT010
P090,CAT002
P091,CAT008
P092,CAT003
P093,CAT009
P094,CAT003
P095,CAT001
P096,CAT003
P097,CAT005
P098,CAT005
P099,CAT002
P100,CAT003
P101,CAT010
P102,CAT001
P103,CAT004
P104,CAT001
P105,CAT005
P106,CAT005
P107,CAT008
P108,CAT010
P109,CAT006
P110,CAT009
P111,CAT005
P112,CAT005
P113,CAT003
P114,CAT003
P115,CAT005
P116,CAT008
P117,CAT001
P118,CAT008
P119,CAT003
P120,CAT006
P121,CAT004
P122,CAT009
P123,CAT010
P124,CAT007
P125,CAT003
P126,CAT001
P127,CAT008
P128,CAT009
P129,CAT003
P130,CAT009
P131,CAT005
P132,CAT002
P133,CAT001
P134,CAT010
P135,CAT003
P136,CAT004
P137,CAT008
P138,CAT004
P139,CAT001
P140,CAT006
P141,CAT003
P142,CAT005
P143,CAT009
P144,CAT004
P145,CAT009
P146,CAT009
P147,CAT005
P148,CAT005
P149,CAT009
P150,CAT010
P151,CAT009
P152,CAT007
P153,CAT003
P154,CAT008
P155,CAT006
P156,CAT010
P157,CAT003
P158,CAT005
P159,CAT002
P160,CAT009
P161,CAT004
P162,CAT005
P163,CAT005
P164,CAT007
P165,CAT002
P166,CAT004
P167,CAT005
P168,CAT001
P169,CAT001
P170,CAT007
P171,CAT005
P172,CAT008
P173,CAT009
P174,CAT004
P175,CAT008
P176,CAT010
P177,CAT010
P178,CAT009
P179,CAT010
P180,CAT001
P181,CAT010
P182,CAT005
P183,CAT001
P184,CAT007
P185,CAT002
P186,CAT003
P187,CAT007
P188,CAT009
P189,CAT009
P190,CAT001
P191,CAT009
P192,CAT008
P193,CAT002
P194,CAT001
P195,CAT001
P196,CAT001
P197,CAT004
P198,CAT003
P199,CAT006
P200,CAT006
