source_patent,target_patent
P002,P001
P003,P001
P004,P001
P005,P004
P006,P004
P007,P003
P008,P004
P009,P001
P010,P008
P011,P002
P012,P010
P013,P011
P014,P003
P015,P002
P016,P012
P017,P006
P018,P011
P019,P003
P020,P010
P021,P003
P022,P021
P023,P003
P024,P005
P025,P022
P026,P010
P027,P007
P028,P026
P029,P002
P030,P013
P031,P020
P032,P012
P033,P019
P034,P016
P035,P029
P036,P033
P037,P009
P038,P007
P039,P006
P040,P010
P041,P002
P042,P016
P043,P021
P044,P019
P045,P031
P046,P017
P047,P039
P048,P016
P049,P041
P050,P039
P051,P046
P052,P023
P053,P043
P054,P035
P055,P025
P056,P048
P057,P047
P058,P048
P059,P035
P060,P030
P061,P046
P062,P003
P063,P033
P064,P003
P065,P007
P066,P056
P067,P024
P068,P035
P069,P024
P070,P042
P071,P055
P072,P006
P073,P036
P074,P052
P075,P057
P076,P047
P077,P020
P078,P010
P079,P041
P080,P024
P081,P034
P082,P037
P083,P018
P084,P012
P085,P009
P086,P082
P087,P016
P088,P004
P089,P071
P090,P051
P091,P053
P092,P010
P093,P071
P094,P056
P095,P020
P096,P029
P097,P026
P098,P039
P099,P022
P100,P080
P101,P006
P102,P074
P103,P054
P104,P070
P105,P104
P106,P089
P107,P060
P108,P092
P109,P098
P110,P031
P111,P019
P112,P054
P113,P093
P114,P060
P115,P012
P116,P075
P117,P077
P118,P002
P119,P047
P120,P007
P121,P037
P122,P071
P123,P016
P124,P072
P125,P066
P126,P092
P127,P020
P128,P120
P129,P077
P130,P126
P131,P095
P132,P079
P133,P068
P134,P014
P135,P098
P136,P029
P137,P039
P138,P121
P139,P133
P140,P135
P141,P088
P142,P050
P143,P077
P144,P082
P145,P074
P146,P038
P147,P089
P148,P055
P149,P070
P150,P062
P151,P060
P152,P121
P153,P041
P154,P052
P155,P016
P156,P010
P157,P127
P158,P077
P159,P117
P160,P130
P161,P042
P162,P004
P163,P050
P164,P084
P165,P123
P166,P099
P167,P150
P168,P093
P169,P120
P170,P080
P171,P057
P172,P156
P173,P138
P174,P153
P175,P093
P176,P141
P177,P043
P178,P175
P179,P131
P180,P132
P181,P119
P182,P102
P183,P149
P184,P017
P185,P074
P186,P166
P187,P097
P188,P090
P189,P033
P190,P077
P191,P098
P192,P071
P193,P108
P194,P018
P195,P173
P196,P012
P197,P194
P198,P060
P199,P198
P200,P037
