company_id,name,industry,country
C001,Google,Technology,USA
C002,Microsoft,Technology,USA
C003,IBM,Technology,USA
C004,Intel,Technology,USA
C005,Tesla,Technology,USA
C006,Apple,Technology,USA
C007,Amazon,Technology,USA
C008,Samsung,Technology,USA
C009,Oracle,Technology,USA
C010,NVIDIA,Technology,USA
C011,Cisco,Technology,USA
C012,Meta,Technology,USA
C013,Adobe,Technology,USA
C014,Qualcomm,Technology,USA
C015,Sony,Technology,USA
C016,Infosys,Technology,USA
C017,TCS,Technology,USA
C018,Wipro,Technology,USA
C019,Accenture,Technology,USA
C020,SAP,Technology,USA
C021,Dell,Technology,USA
C022,HP,Technology,USA
C023,Siemens,Technology,USA
C024,Bosch,Technology,USA
C025,Honeywell,Technology,USA
C026,Philips,Technology,USA
C027,SpaceX,Technology,USA
C028,OpenAI,Technology,USA
C029,DeepMind,Technology,USA
C030,Zoho,Technology,USA
