inventor_id,patent_id
I096,P001
I022,P002
I100,P003
I031,P004
I078,P005
I060,P006
I088,P007
I081,P008
I057,P009
I046,P010
I005,P011
I079,P012
I071,P013
I025,P014
I008,P015
I065,P016
I057,P017
I047,P018
I087,P019
I043,P020
I033,P021
I075,P022
I090,P023
I040,P024
I086,P025
I055,P026
I024,P027
I029,P028
I013,P029
I085,P030
I020,P031
I022,P032
I087,P033
I097,P034
I040,P035
I060,P036
I068,P037
I033,P038
I092,P039
I098,P040
I056,P041
I054,P042
I050,P043
I013,P044
I061,P045
I058,P046
I028,P047
I068,P048
I039,P049
I080,P050
I069,P051
I019,P052
I031,P053
I011,P054
I065,P055
I061,P056
I003,P057
I085,P058
I097,P059
I044,P060
I090,P061
I100,P062
I026,P063
I051,P064
I097,P065
I084,P066
I052,P067
I064,P068
I011,P069
I070,P070
I085,P071
I022,P072
I094,P073
I082,P074
I047,P075
I005,P076
I047,P077
I087,P078
I074,P079
I084,P080
I064,P081
I100,P082
I089,P083
I010,P084
I088,P085
I071,P086
I023,P087
I026,P088
I047,P089
I017,P090
I092,P091
I074,P092
I058,P093
I082,P094
I065,P095
I039,P096
I045,P097
I082,P098
I079,P099
I076,P100
I093,P101
I004,P102
I034,P103
I080,P104
I038,P105
I088,P106
I008,P107
I027,P108
I041,P109
I048,P110
I060,P111
I013,P112
I032,P113
I041,P114
I064,P115
I051,P116
I046,P117
I084,P118
I014,P119
I098,P120
I073,P121
I010,P122
I036,P123
I017,P124
I047,P125
I052,P126
I043,P127
I078,P128
I079,P129
I076,P130
I091,P131
I043,P132
I093,P133
I084,P134
I075,P135
I019,P136
I025,P137
I053,P138
I095,P139
I027,P140
I049,P141
I070,P142
I032,P143
I099,P144
I062,P145
I016,P146
I038,P147
I057,P148
I026,P149
I018,P150
I032,P151
I007,P152
I013,P153
I053,P154
I097,P155
I099,P156
I023,P157
I024,P158
I073,P159
I083,P160
I060,P161
I094,P162
I095,P163
I023,P164
I012,P165
I042,P166
I031,P167
I093,P168
I089,P169
I040,P170
I089,P171
I029,P172
I048,P173
I086,P174
I011,P175
I010,P176
I065,P177
I042,P178
I027,P179
I058,P180
I054,P181
I087,P182
I033,P183
I010,P184
I070,P185
I053,P186
I054,P187
I011,P188
I016,P189
I094,P190
I060,P191
I030,P192
I025,P193
I079,P194
I013,P195
I091,P196
I052,P197
I100,P198
I094,P199
I087,P200
