company_id,patent_id
C011,P001
C003,P002
C012,P003
C004,P004
C005,P005
C025,P006
C030,P007
C011,P008
C021,P009
C017,P010
C002,P011
C020,P012
C026,P013
C011,P014
C015,P015
C021,P016
C015,P017
C012,P018
C020,P019
C004,P020
C024,P021
C022,P022
C022,P023
C018,P024
C023,P025
C017,P026
C007,P027
C005,P028
C017,P029
C011,P030
C006,P031
C024,P032
C024,P033
C024,P034
C026,P035
C025,P036
C014,P037
C002,P038
C028,P039
C006,P040
C003,P041
C002,P042
C003,P043
C027,P044
C023,P045
C020,P046
C027,P047
C014,P048
C004,P049
C015,P050
C001,P051
C010,P052
C019,P053
C017,P054
C026,P055
C002,P056
C012,P057
C021,P058
C011,P059
C027,P060
C016,P061
C015,P062
C029,P063
C027,P064
C021,P065
C011,P066
C024,P067
C023,P068
C024,P069
C010,P070
C010,P071
C023,P072
C028,P073
C026,P074
C017,P075
C005,P076
C013,P077
C015,P078
C005,P079
C009,P080
C017,P081
C009,P082
C030,P083
C015,P084
C028,P085
C018,P086
C026,P087
C026,P088
C018,P089
C020,P090
C024,P091
C003,P092
C015,P093
C019,P094
C030,P095
C006,P096
C017,P097
C018,P098
C018,P099
C019,P100
C029,P101
C003,P102
C021,P103
C021,P104
C021,P105
C013,P106
C006,P107
C011,P108
C024,P109
C017,P110
C004,P111
C002,P112
C028,P113
C007,P114
C029,P115
C017,P116
C002,P117
C022,P118
C014,P119
C013,P120
C018,P121
C013,P122
C027,P123
C004,P124
C025,P125
C017,P126
C026,P127
C029,P128
C011,P129
C011,P130
C019,P131
C022,P132
C028,P133
C026,P134
C016,P135
C027,P136
C001,P137
C023,P138
C024,P139
C018,P140
C011,P141
C012,P142
C009,P143
C010,P144
C012,P145
C019,P146
C002,P147
C021,P148
C027,P149
C004,P150
C002,P151
C004,P152
C022,P153
C021,P154
C010,P155
C003,P156
C014,P157
C030,P158
C020,P159
C018,P160
C009,P161
C015,P162
C011,P163
C020,P164
C013,P165
C030,P166
C015,P167
C019,P168
C008,P169
C006,P170
C004,P171
C005,P172
C014,P173
C027,P174
C017,P175
C030,P176
C007,P177
C028,P178
C023,P179
C026,P180
C015,P181
C026,P182
C027,P183
C002,P184
C002,P185
C006,P186
C012,P187
C022,P188
C006,P189
C008,P190
C022,P191
C008,P192
C030,P193
C025,P194
C020,P195
C028,P196
C015,P197
C002,P198
C019,P199
C027,P200
