patent_id,technology_id
P001,T011
P001,T025
P002,T021
P002,T004
P003,T024
P003,T021
P004,T009
P004,T007
P005,T006
P005,T025
P006,T025
P006,T019
P007,T021
P007,T020
P008,T015
P008,T003
P009,T009
P009,T019
P010,T010
P010,T015
P011,T010
P011,T003
P012,T013
P012,T015
P013,T015
P013,T019
P014,T016
P014,T017
P015,T011
P015,T023
P016,T002
P016,T008
P017,T017
P017,T020
P018,T013
P018,T014
P019,T021
P019,T011
P020,T022
P020,T013
P021,T005
P021,T011
P022,T012
P022,T010
P023,T005
P023,T020
P024,T021
P024,T011
P025,T003
P025,T021
P026,T001
P026,T012
P027,T025
P027,T016
P028,T003
P028,T010
P029,T024
P029,T017
P030,T005
P030,T020
P031,T023
P031,T025
P032,T002
P032,T014
P033,T015
P033,T020
P034,T008
P034,T018
P035,T007
P035,T012
P036,T025
P036,T013
P037,T007
P037,T020
P038,T012
P038,T018
P039,T004
P039,T010
P040,T015
P040,T017
P041,T015
P041,T012
P042,T017
P042,T012
P043,T008
P043,T001
P044,T005
P044,T002
P045,T025
P045,T023
P046,T003
P046,T001
P047,T018
P047,T024
P048,T025
P048,T010
P049,T008
P049,T014
P050,T004
P050,T016
P051,T019
P051,T008
P052,T001
P052,T020
P053,T006
P053,T022
P054,T003
P054,T017
P055,T018
P055,T001
P056,T012
P056,T009
P057,T012
P057,T008
P058,T025
P058,T019
P059,T002
P059,T012
P060,T025
P060,T022
P061,T005
P061,T003
P062,T010
P062,T007
P063,T011
P063,T010
P064,T016
P064,T009
P065,T010
P065,T012
P066,T004
P066,T012
P067,T013
P067,T011
P068,T012
P068,T017
P069,T003
P069,T014
P070,T004
P070,T003
P071,T015
P071,T020
P072,T012
P072,T015
P073,T020
P073,T014
P074,T003
P074,T022
P075,T001
P075,T005
P076,T008
P076,T025
P077,T002
P077,T020
P078,T012
P078,T015
P079,T012
P079,T013
P080,T004
P080,T001
P081,T018
P081,T004
P082,T007
P082,T020
P083,T007
P083,T004
P084,T023
P084,T015
P085,T022
P085,T012
P086,T010
P086,T006
P087,T017
P087,T008
P088,T008
P088,T016
P089,T012
P089,T015
P090,T003
P090,T010
P091,T017
P091,T014
P092,T011
P092,T021
P093,T012
P093,T005
P094,T025
P094,T005
P095,T004
P095,T017
P096,T011
P096,T023
P097,T003
P097,T009
P098,T005
P098,T021
P099,T017
P099,T021
P100,T006
P100,T022
P101,T011
P101,T019
P102,T021
P102,T025
P103,T025
P103,T019
P104,T016
P104,T021
P105,T016
P105,T008
P106,T015
P106,T003
P107,T014
P107,T016
P108,T005
P108,T011
P109,T013
P109,T005
P110,T004
P110,T011
P111,T015
P111,T008
P112,T013
P112,T020
P113,T011
P113,T019
P114,T016
P114,T017
P115,T016
P115,T001
P116,T008
P116,T007
P117,T010
P117,T016
P118,T010
P118,T018
P119,T009
P119,T024
P120,T002
P120,T013
P121,T012
P121,T018
P122,T015
P122,T025
P123,T022
P123,T020
P124,T012
P124,T011
P125,T007
P125,T020
P126,T002
P126,T005
P127,T017
P127,T015
P128,T005
P128,T011
P129,T013
P129,T020
P130,T017
P130,T018
P131,T016
P131,T001
P132,T014
P132,T019
P133,T020
P133,T016
P134,T019
P134,T008
P135,T017
P135,T021
P136,T002
P136,T019
P137,T011
P137,T014
P138,T014
P138,T017
P139,T023
P139,T005
P140,T022
P140,T016
P141,T015
P141,T018
P142,T020
P142,T016
P143,T010
P143,T008
P144,T023
P144,T016
P145,T024
P145,T009
P146,T013
P146,T012
P147,T023
P147,T003
P148,T024
P148,T016
P149,T009
P149,T018
P150,T024
P150,T019
P151,T008
P151,T021
P152,T011
P152,T023
P153,T001
P153,T018
P154,T016
P154,T021
P155,T010
P155,T021
P156,T008
P156,T018
P157,T002
P157,T013
P158,T002
P158,T001
P159,T011
P159,T010
P160,T016
P160,T005
P161,T004
P161,T011
P162,T023
P162,T006
P163,T019
P163,T022
P164,T014
P164,T017
P165,T006
P165,T005
P166,T001
P166,T009
P167,T011
P167,T010
P168,T009
P168,T021
P169,T022
P169,T004
P170,T022
P170,T017
P171,T012
P171,T020
P172,T005
P172,T015
P173,T016
P173,T025
P174,T025
P174,T008
P175,T017
P175,T023
P176,T004
P176,T002
P177,T018
P177,T005
P178,T015
P178,T004
P179,T016
P179,T003
P180,T015
P180,T005
P181,T002
P181,T018
P182,T024
P182,T001
P183,T024
P183,T007
P184,T012
P184,T023
P185,T016
P185,T002
P186,T025
P186,T021
P187,T015
P187,T013
P188,T005
P188,T021
P189,T013
P189,T017
P190,T025
P190,T001
P191,T014
P191,T018
P192,T012
P192,T005
P193,T002
P193,T022
P194,T008
P194,T007
P195,T015
P195,T020
P196,T008
P196,T024
P197,T018
P197,T007
P198,T017
P198,T010
P199,T019
P199,T020
P200,T008
P200,T010
