inventor_id,company_id
I096,C011
I022,C003
I100,C012
I031,C004
I078,C005
I060,C025
I088,C030
I081,C011
I057,C021
I046,C017
I005,C002
I079,C020
I071,C026
I025,C011
I008,C015
I065,C021
I057,C015
I047,C012
I087,C020
I043,C004
I033,C024
I075,C022
I090,C022
I040,C018
I086,C023
I055,C017
I024,C007
I029,C005
I013,C017
I085,C011
I020,C006
I022,C024
I087,C024
I097,C024
I040,C026
I068,C014
I033,C002
I092,C028
I098,C006
I056,C003
I054,C002
I050,C003
I013,C027
I061,C023
I058,C020
I028,C027
I039,C004
I080,C015
I069,C001
I019,C010
I031,C019
I011,C017
I065,C026
I061,C002
I003,C012
I085,C021
I097,C011
I044,C027
I090,C016
I100,C015
I026,C029
I051,C027
I097,C021
I084,C011
I052,C024
I064,C023
I011,C024
I070,C010
I085,C010
I022,C023
I094,C028
I082,C026
I047,C017
I005,C005
I047,C013
I087,C015
I074,C005
I084,C009
I064,C017
I100,C009
I089,C030
I010,C015
I088,C028
I071,C018
I023,C026
I026,C026
I047,C018
I017,C020
I092,C024
I074,C003
I058,C015
I082,C019
I065,C030
I039,C006
I045,C017
I082,C018
I079,C018
I076,C019
I093,C029
I004,C003
I034,C021
I080,C021
I038,C021
I088,C013
I008,C006
I027,C011
I041,C024
I048,C017
I060,C004
I013,C002
I032,C028
I041,C007
I064,C029
I051,C017
I046,C002
I084,C022
I014,C014
I098,C013
I073,C018
I010,C013
I036,C027
I017,C004
I047,C025
I052,C017
I043,C026
I078,C029
I079,C011
I076,C011
I091,C019
I043,C022
I093,C028
I084,C026
I075,C016
I019,C027
I025,C001
I053,C023
I095,C024
I027,C018
I049,C011
I070,C012
I032,C009
I099,C010
I062,C012
I016,C019
I038,C002
I026,C027
I018,C004
I032,C002
I007,C004
I013,C022
I053,C021
I097,C010
I099,C003
I023,C014
I024,C030
I073,C020
I083,C018
I060,C009
I094,C015
I095,C011
I023,C020
I012,C013
I042,C030
I031,C015
I093,C019
I089,C008
I040,C006
I089,C004
I048,C014
I086,C027
I010,C030
I065,C007
I042,C028
I027,C023
I058,C026
I054,C015
I087,C026
I033,C027
I010,C002
I070,C002
I053,C006
I054,C012
I011,C022
I016,C006
I094,C008
I060,C022
I030,C008
I025,C030
I079,C025
I013,C020
I091,C028
I052,C015
I100,C002
I094,C019
I087,C027
